,Name,Link,Rating,Review Count,Great for walkers,Restaurants,Attractions,Excellent,Very good,Average,Poor,Terrible,Picture
0,Central Hotel,https://tripadvisor.in/Hotel_Review-g186338-d242994-Reviews-Central_Hotel-London_England.html,3.5 of 5 bubbles,675 reviews,100,209,52,112,273,160,75,55, (401)
1,1. Park Grand Paddington Court,https://tripadvisor.in/Hotel_Review-g186338-d193062-Reviews-Park_Grand_Paddington_Court-London_England.html,4.5 of 5 bubbles,"3,713 reviews",98,116,16,"2,591",697,242,74,112," (1,092)"
2,2. The Montcalm Royal London House,https://tripadvisor.in/Hotel_Review-g186338-d10810215-Reviews-The_Montcalm_Royal_London_House-London_England.html,5 of 5 bubbles,"3,722 reviews",100,198,51,"3,224",345,94,35,26," (2,404)"
3,3. Wilde Aparthotels By Staycity London - Paddington,https://tripadvisor.in/Hotel_Review-g186338-d23500327-Reviews-Wilde_Aparthotels_By_Staycity_London_Paddington-London_England.html,5 of 5 bubbles,846 reviews,96,153,21,737,85,14,6,4, (244)
4,4. The Resident Covent Garden,https://tripadvisor.in/Hotel_Review-g186338-d15134890-Reviews-The_Resident_Covent_Garden-London_England.html,5 of 5 bubbles,"1,437 reviews",100,644,298,"1,359",63,12,2,1, (488)
5,5. Park Grand London Hyde Park,https://tripadvisor.in/Hotel_Review-g186338-d3164384-Reviews-Park_Grand_London_Hyde_Park-London_England.html,4.5 of 5 bubbles,"3,691 reviews",95,141,14,"2,168",829,359,155,180," (1,052)"
6,6. Park Grand London Kensington,https://tripadvisor.in/Hotel_Review-g186338-d193143-Reviews-Park_Grand_London_Kensington-London_England.html,4.5 of 5 bubbles,"5,714 reviews",96,89,11,"4,134","1,217",233,68,62," (1,404)"
7,7. The Tower Hotel,https://tripadvisor.in/Hotel_Review-g186338-d193097-Reviews-The_Tower_Hotel-London_England.html,4 of 5 bubbles,"12,996 reviews",100,92,47,"5,445","4,215","1,871",877,590," (6,008)"
8,8. Thistle London Marble Arch,https://tripadvisor.in/Hotel_Review-g186338-d193084-Reviews-Thistle_London_Marble_Arch-London_England.html,4.5 of 5 bubbles,"4,507 reviews",100,263,71,"3,161",898,236,111,101," (1,126)"
9,"9. The Clermont, Victoria",https://tripadvisor.in/Hotel_Review-g186338-d218409-Reviews-The_Clermont_Victoria-London_England.html,4.5 of 5 bubbles,787 reviews,97,205,32,633,103,26,11,15, (748)
10,10. Grand Royale London Hyde Park,https://tripadvisor.in/Hotel_Review-g186338-d218403-Reviews-Grand_Royale_London_Hyde_Park-London_England.html,4 of 5 bubbles,"5,732 reviews",98,90,17,"2,623","1,759",682,300,369," (2,385)"
11,Central Hotel,https://tripadvisor.in/Hotel_Review-g186338-d242994-Reviews-Central_Hotel-London_England.html,3.5 of 5 bubbles,675 reviews,100,209,52,112,273,160,75,55, (401)
12,11. Travelodge London City hotel,https://tripadvisor.in/Hotel_Review-g186338-d13569031-Reviews-Travelodge_London_City_hotel-London_England.html,4.5 of 5 bubbles,"2,590 reviews",100,380,66,"1,643",604,149,90,105, (294)
13,12. Travelodge London Docklands Central,https://tripadvisor.in/Hotel_Review-g186338-d23950281-Reviews-Travelodge_London_Docklands_Central-London_England.html,4 of 5 bubbles,"1,081 reviews",66,12,5,654,154,85,76,117, (232)
14,13. The Cumberland,https://tripadvisor.in/Hotel_Review-g186338-d17351423-Reviews-The_Cumberland-London_England.html,4.5 of 5 bubbles,"2,885 reviews",100,173,47,"2,137",301,187,109,153," (2,181)"
15,14. Travelodge London Central City Road,https://tripadvisor.in/Hotel_Review-g186338-d734603-Reviews-Travelodge_London_Central_City_Road-London_England.html,4 of 5 bubbles,"2,573 reviews",100,210,52,"1,011",757,385,182,238, (420)
16,15. Park Plaza Westminster Bridge London,https://tripadvisor.in/Hotel_Review-g186338-d1657415-Reviews-Park_Plaza_Westminster_Bridge_London-London_England.html,4.5 of 5 bubbles,"24,322 reviews",100,146,44,"13,726","6,382","2,152","1,125",937," (7,550)"
17,16. Travelodge London Covent Garden,https://tripadvisor.in/Hotel_Review-g186338-d193057-Reviews-Travelodge_London_Covent_Garden-London_England.html,4 of 5 bubbles,"12,889 reviews",100,553,236,"4,369","4,374","2,217",967,964," (1,190)"
18,17. The Chesterfield Mayfair,https://tripadvisor.in/Hotel_Review-g186338-d192064-Reviews-The_Chesterfield_Mayfair-London_England.html,5 of 5 bubbles,"5,051 reviews",100,236,115,"4,305",577,108,39,22," (2,783)"
